Date	     Extent (million sq km)
11-2000	10.815
11-2000	10.894
11-2000	10.942
11-2000	11.008
11-2000	11.092
11-2000	11.154
11-2000	11.181
11-2000	11.387
12-2000	11.663
12-2000	11.684
12-2000	11.787
12-2000	11.809
12-2000	11.86
12-2000	12.101
12-2000	12.177
12-2000	12.329
12-2000	12.389
12-2000	12.431
12-2000	12.513
12-2000	12.536
12-2000	12.599
12-2000	12.585
12-2000	12.633
12-2000	12.689
12-2000	12.808
12-2000	12.898
12-2000	12.883
12-2000	12.92
12-2000	12.906
12-2000	12.863
12-2000	12.987
12-2000	13.06
12-2000	13.053
12-2000	13.067
12-2000	13.16
12-2000	13.244
12-2000	13.32
12-2000	13.34
12-2000	13.461
01-2001	13.479
01-2001	13.385
01-2001	13.418
01-2001	13.51
01-2001	13.566
01-2001	13.722
01-2001	13.846
01-2001	13.882
01-2001	14.028
01-2001	14.063
01-2001	14.088
01-2001	14.133
01-2001	14.055
01-2001	14.095
01-2001	14.088
01-2001	14.191
01-2001	14.249
01-2001	14.318
01-2001	14.424
01-2001	14.449
01-2001	14.539
01-2001	14.575
01-2001	14.609
01-2001	14.715
01-2001	14.585
01-2001	14.65
01-2001	14.625
01-2001	14.673
01-2001	14.718
01-2001	14.764
01-2001	14.839
02-2001	14.908
02-2001	14.894
02-2001	14.816
02-2001	14.874
02-2001	14.867
02-2001	14.975
02-2001	14.926
02-2001	14.999
02-2001	14.985
02-2001	15.09
02-2001	15.215
02-2001	15.197
02-2001	15.121
02-2001	15.173
02-2001	15.293
02-2001	15.34
02-2001	15.381
02-2001	15.315
02-2001	15.403
02-2001	15.337
02-2001	15.342
02-2001	15.352
02-2001	15.355
02-2001	15.476
02-2001	15.497
02-2001	15.532
02-2001	15.62
02-2001	15.629
03-2001	15.637
03-2001	15.64
03-2001	15.705
03-2001	15.742
03-2001	15.637
03-2001	15.57
03-2001	15.538
03-2001	15.554
03-2001	15.593
03-2001	15.604
03-2001	15.581
03-2001	15.573
03-2001	15.557
03-2001	15.689
03-2001	15.667
03-2001	15.702
03-2001	15.645
03-2001	15.652
03-2001	15.604
03-2001	15.472
03-2001	15.39
03-2001	15.383
03-2001	15.441
03-2001	15.443
03-2001	15.467
03-2001	15.415
03-2001	15.318
03-2001	15.271
03-2001	15.182
03-2001	15.185
03-2001	15.149
04-2001	15.105
04-2001	15.167
04-2001	15.161
04-2001	15.089
04-2001	15.113
04-2001	15.101
04-2001	15.084
04-2001	15.056
04-2001	15.093
04-2001	15.1
04-2001	15.236
04-2001	15.109
04-2001	15.096
04-2001	14.976
04-2001	14.87
04-2001	14.809
04-2001	14.78
04-2001	14.806
04-2001	14.769
04-2001	14.745
04-2001	14.711
04-2001	14.711
04-2001	14.71
04-2001	14.599
04-2001	14.574
04-2001	14.515
04-2001	14.496
04-2001	14.458
04-2001	14.364
04-2001	14.302
05-2001	14.287
05-2001	14.299
05-2001	14.235
05-2001	14.178
05-2001	14.109
05-2001	14.043
05-2001	14.007
05-2001	14.032
05-2001	13.967
05-2001	13.959
05-2001	13.892
05-2001	13.828
05-2001	13.744
05-2001	13.706
05-2001	13.652
05-2001	13.536
05-2001	13.509
05-2001	13.425
05-2001	13.358
05-2001	13.219
05-2001	13.098
05-2001	13.04
05-2001	13.019
05-2001	12.98
05-2001	12.946
05-2001	12.991
05-2001	12.906
05-2001	12.839
05-2001	12.723
05-2001	12.641
05-2001	12.63
06-2001	12.456
06-2001	12.409
06-2001	12.384
06-2001	12.35
06-2001	12.291
06-2001	12.255
06-2001	12.186
06-2001	12.121
06-2001	12.073
06-2001	11.981
06-2001	11.95
06-2001	11.848
06-2001	11.719
06-2001	11.555
06-2001	11.468
06-2001	11.359
06-2001	11.381
06-2001	11.295
06-2001	11.224
06-2001	11.168
06-2001	11.002
06-2001	10.883
06-2001	10.795
06-2001	10.75
06-2001	10.657
06-2001	10.61
06-2001	10.455
06-2001	10.401
06-2001	10.355
06-2001	10.297
07-2001	10.064
07-2001	10.032
07-2001	9.96
07-2001	9.927
07-2001	9.775
07-2001	9.672
07-2001	9.642
07-2001	9.578
07-2001	9.537
07-2001	9.481
07-2001	9.446
07-2001	9.344
07-2001	9.254
07-2001	9.189
07-2001	9.136
07-2001	9.027
07-2001	9.022
07-2001	8.947
07-2001	8.908
07-2001	8.776
07-2001	8.695
07-2001	8.682
07-2001	8.648
07-2001	8.544
07-2001	8.427
07-2001	8.415
07-2001	8.327
07-2001	8.306
07-2001	8.2
07-2001	8.133
07-2001	8.087
08-2001	8.079
08-2001	8.022
08-2001	7.934
08-2001	7.941
08-2001	7.98
08-2001	7.891
08-2001	7.836
08-2001	7.819
08-2001	7.747
08-2001	7.694
08-2001	7.716
08-2001	7.692
08-2001	7.566
08-2001	7.535
08-2001	7.463
08-2001	7.451
08-2001	7.404
08-2001	7.453
08-2001	7.344
08-2001	7.272
08-2001	7.223
08-2001	7.186
08-2001	7.101
08-2001	7.035
08-2001	7.07
08-2001	6.994
08-2001	6.981
08-2001	7.023
08-2001	6.957
08-2001	6.987
08-2001	6.889
09-2001	6.789
09-2001	6.807
09-2001	6.787
09-2001	6.779
09-2001	6.782
09-2001	6.746
09-2001	6.73
09-2001	6.718
09-2001	6.724
09-2001	6.691
09-2001	6.667
09-2001	6.632
09-2001	6.641
09-2001	6.684
09-2001	6.657
09-2001	6.608
09-2001	6.62
09-2001	6.589
09-2001	6.567
09-2001	6.629
09-2001	6.64
09-2001	6.705
09-2001	6.683
09-2001	6.746
09-2001	6.684
09-2001	6.773
09-2001	6.806
09-2001	6.964
09-2001	7.033
09-2001	7.084
10-2001	7.261
10-2001	7.371
10-2001	7.477
10-2001	7.551
10-2001	7.576
10-2001	7.67
10-2001	7.786
10-2001	7.856
10-2001	7.942
10-2001	7.959
10-2001	7.981
10-2001	8.005
10-2001	8.097
10-2001	8.149
10-2001	8.214
10-2001	8.243
10-2001	8.331
10-2001	8.449
10-2001	8.541
10-2001	8.555
10-2001	8.566
10-2001	8.529
10-2001	8.569
10-2001	8.642
10-2001	8.852
10-2001	8.912
10-2001	9.007
10-2001	9.154
10-2001	9.274
10-2001	9.324
10-2001	9.404
11-2001	9.733
11-2001	9.762
11-2001	9.804
11-2001	9.893
11-2001	10.076
11-2001	10.03
11-2001	10.131
11-2001	10.178
11-2001	10.196
11-2001	10.336
11-2001	10.41
11-2001	10.549
11-2001	10.616
11-2001	10.732
11-2001	10.861
11-2001	10.9
11-2001	10.959
11-2001	11.043
11-2001	11.068
11-2001	11.109
11-2001	11.091
11-2001	11.09
11-2001	11.096
11-2001	11.08
11-2001	11.133
11-2001	11.179
11-2001	11.169
11-2001	11.121
11-2001	11.151
11-2001	11.239
12-2001	11.414
12-2001	11.468
12-2001	11.558
12-2001	11.564
12-2001	11.607
12-2001	11.705
12-2001	11.71
12-2001	11.747
12-2001	11.887
12-2001	11.925
12-2001	12.115
12-2001	12.203
12-2001	12.25
12-2001	12.309
12-2001	12.374
12-2001	12.467
12-2001	12.59
12-2001	12.639
12-2001	12.785
12-2001	12.851
12-2001	12.92
12-2001	13.01
12-2001	13.098
12-2001	13.189
12-2001	13.339
12-2001	13.325
12-2001	13.374
12-2001	13.409
12-2001	13.416
12-2001	13.444
12-2001	13.521
01-2002	13.59
01-2002	13.628
01-2002	13.598
01-2002	13.623
01-2002	13.683
01-2002	13.645
01-2002	13.875
01-2002	13.846
01-2002	13.91
01-2002	13.925
01-2002	13.885
01-2002	13.98
01-2002	14.163
01-2002	14.236
01-2002	14.222
01-2002	14.313
01-2002	14.366
01-2002	14.372
01-2002	14.429
01-2002	14.561
01-2002	14.657
01-2002	14.674
01-2002	14.624
01-2002	14.64
01-2002	14.668
01-2002	14.744
01-2002	14.803
01-2002	14.923
01-2002	14.878
01-2002	14.951
01-2002	15.039
02-2002	15.187
02-2002	15.226
02-2002	15.186
02-2002	15.204
02-2002	15.185
02-2002	15.133
02-2002	15.16
02-2002	15.207
02-2002	15.255
02-2002	15.209
02-2002	15.31
02-2002	15.228
02-2002	15.303
02-2002	15.364
02-2002	15.384
02-2002	15.413
02-2002	15.475
02-2002	15.526
02-2002	15.534
02-2002	15.488
02-2002	15.549
02-2002	15.586
02-2002	15.483
02-2002	15.396
02-2002	15.39
02-2002	15.396
02-2002	15.387
02-2002	15.422
03-2002	15.397
03-2002	15.444
03-2002	15.441
03-2002	15.404
03-2002	15.359
03-2002	15.427
03-2002	15.421
03-2002	15.555
03-2002	15.624
03-2002	15.536
03-2002	15.611
03-2002	15.511
03-2002	15.572
03-2002	15.611
03-2002	15.576
03-2002	15.489
03-2002	15.402
03-2002	15.396
03-2002	15.346
03-2002	15.312
03-2002	15.282
03-2002	15.211
03-2002	15.265
03-2002	15.224
03-2002	15.183
03-2002	15.114
03-2002	15.173
03-2002	15.126
03-2002	14.991
03-2002	14.931
03-2002	14.882
04-2002	14.885
04-2002	14.72
04-2002	14.694
04-2002	14.649
04-2002	14.609
04-2002	14.609
04-2002	14.585
04-2002	14.543
04-2002	14.481
04-2002	14.428
04-2002	14.321
04-2002	14.336
04-2002	14.379
04-2002	14.381
04-2002	14.36
04-2002	14.369
04-2002	14.329
04-2002	14.265
04-2002	14.184
04-2002	14.223
04-2002	14.183
04-2002	14.15
04-2002	14.097
04-2002	14.054
04-2002	14.075
04-2002	13.945
04-2002	13.867
04-2002	13.768
04-2002	13.79
04-2002	13.704
05-2002	13.527
05-2002	13.508
05-2002	13.481
05-2002	13.482
05-2002	13.384
05-2002	13.341
05-2002	13.346
05-2002	13.321
05-2002	13.265
05-2002	13.227
05-2002	13.197
05-2002	13.214
05-2002	13.119
05-2002	13.084
05-2002	13.076
05-2002	13.049
05-2002	12.974
05-2002	12.947
05-2002	12.876
05-2002	12.755
05-2002	12.724
05-2002	12.677
05-2002	12.668
05-2002	12.658
05-2002	12.55
05-2002	12.505
05-2002	12.5
05-2002	12.465
05-2002	12.417
05-2002	12.402
05-2002	12.35
06-2002	12.239
06-2002	12.152
06-2002	12.108
06-2002	12.077
06-2002	12
06-2002	12.012
06-2002	11.982
06-2002	11.924
06-2002	11.894
06-2002	11.838
06-2002	11.822
06-2002	11.77
06-2002	11.738
06-2002	11.696
06-2002	11.636
06-2002	11.585
06-2002	11.534
06-2002	11.489
06-2002	11.439
06-2002	11.378
06-2002	11.365
06-2002	11.356
06-2002	11.331
06-2002	11.259
06-2002	11.176
06-2002	11.056
06-2002	11.064
06-2002	10.955
06-2002	10.86
06-2002	10.767
07-2002	10.575
07-2002	10.556
07-2002	10.556
07-2002	10.511
07-2002	10.436
07-2002	10.315
07-2002	10.204
07-2002	10.086
07-2002	10.066
07-2002	9.986
07-2002	9.733
07-2002	9.647
07-2002	9.61
07-2002	9.525
07-2002	9.398
07-2002	9.322
07-2002	9.205
07-2002	9.081
07-2002	8.986
07-2002	8.881
07-2002	8.799
07-2002	8.675
07-2002	8.461
07-2002	8.428
07-2002	8.446
07-2002	8.246
07-2002	8.086
07-2002	8.006
07-2002	7.992
07-2002	7.911
07-2002	7.77
08-2002	7.588
08-2002	7.495
08-2002	7.444
08-2002	7.472
08-2002	7.331
08-2002	7.251
08-2002	7.148
08-2002	7.064
08-2002	6.868
08-2002	6.809
08-2002	6.76
08-2002	6.704
08-2002	6.642
08-2002	6.6
08-2002	6.631
08-2002	6.54
08-2002	6.434
08-2002	6.389
08-2002	6.317
08-2002	6.275
08-2002	6.241
08-2002	6.209
08-2002	6.209
08-2002	6.141
08-2002	6.157
08-2002	6.071
08-2002	5.997
08-2002	6.002
08-2002	5.948
08-2002	5.966
08-2002	5.866
09-2002	5.828
09-2002	5.827
09-2002	5.759
09-2002	5.698
09-2002	5.638
09-2002	5.67
09-2002	5.691
09-2002	5.687
09-2002	5.68
09-2002	5.641
09-2002	5.639
09-2002	5.638
09-2002	5.628
09-2002	5.644
09-2002	5.661
09-2002	5.663
09-2002	5.627
09-2002	5.625
09-2002	5.698
09-2002	5.796
09-2002	5.87
09-2002	5.965
09-2002	5.996
09-2002	6.007
09-2002	6.012
09-2002	6.084
09-2002	6.158
09-2002	6.253
09-2002	6.332
09-2002	6.399
10-2002	6.543
10-2002	6.656
10-2002	6.869
10-2002	7.085
10-2002	7.218
10-2002	7.303
10-2002	7.467
10-2002	7.547
10-2002	7.647
10-2002	7.722
10-2002	7.853
10-2002	7.967
10-2002	8.025
10-2002	8.1
10-2002	8.164
10-2002	8.196
10-2002	8.26
10-2002	8.358
10-2002	8.452
10-2002	8.583
10-2002	8.644
10-2002	8.777
10-2002	8.89
10-2002	8.919
10-2002	8.976
10-2002	9.062
10-2002	9.079
10-2002	9.132
10-2002	9.179
10-2002	9.177
10-2002	9.169
11-2002	9.299
11-2002	9.424
11-2002	9.511
11-2002	9.573
11-2002	9.576
11-2002	9.611
11-2002	9.587
11-2002	9.629
11-2002	9.743
11-2002	9.852
11-2002	9.874
11-2002	9.967
11-2002	10.048
11-2002	10.096
11-2002	10.19
11-2002	10.364
11-2002	10.587
11-2002	10.594
11-2002	10.585
11-2002	10.593
11-2002	10.687
11-2002	10.805
11-2002	10.883
11-2002	11.004
11-2002	11.06
11-2002	11.213
11-2002	11.377
11-2002	11.476
11-2002	11.499
11-2002	11.549
12-2002	11.728
12-2002	11.785
12-2002	11.874
12-2002	11.909
12-2002	11.978
12-2002	11.981
12-2002	11.966
12-2002	11.972
12-2002	12.118
12-2002	12.188
12-2002	12.239
12-2002	12.32
12-2002	12.38
12-2002	12.487
12-2002	12.572
12-2002	12.666
12-2002	12.715
12-2002	12.922
12-2002	12.925
12-2002	12.837
12-2002	12.878
12-2002	12.909
12-2002	12.998
12-2002	13.091
12-2002	13.112
12-2002	13.206
12-2002	13.376
12-2002	13.366
12-2002	13.377
12-2002	13.483
12-2002	13.504
01-2003	13.647
01-2003	13.698
01-2003	13.876
01-2003	13.925
01-2003	14.036
01-2003	14.075
01-2003	14.092
01-2003	14.12
01-2003	14.094
01-2003	14.126
01-2003	14.219
01-2003	14.278
01-2003	14.285
01-2003	14.395
01-2003	14.424
01-2003	14.518
01-2003	14.584
01-2003	14.638
01-2003	14.684
01-2003	14.796
01-2003	14.739
01-2003	14.555
01-2003	14.481
01-2003	14.528
01-2003	14.585
01-2003	14.583
01-2003	14.791
01-2003	14.891
01-2003	14.771
01-2003	14.811
01-2003	14.871
02-2003	14.946
02-2003	14.954
02-2003	14.889
02-2003	14.876
02-2003	14.905
02-2003	14.834
02-2003	14.942
02-2003	14.975
02-2003	14.996
02-2003	15.003
02-2003	15.057
02-2003	15.078
02-2003	15.142
02-2003	15.139
02-2003	15.212
02-2003	15.306
02-2003	15.345
02-2003	15.354
02-2003	15.359
02-2003	15.386
02-2003	15.461
02-2003	15.443
02-2003	15.438
02-2003	15.439
02-2003	15.41
02-2003	15.506
02-2003	15.495
02-2003	15.518
03-2003	15.555
03-2003	15.61
03-2003	15.616
03-2003	15.524
03-2003	15.472
03-2003	15.44
03-2003	15.443
03-2003	15.438
03-2003	15.381
03-2003	15.326
03-2003	15.347
03-2003	15.32
03-2003	15.278
03-2003	15.331
03-2003	15.4
03-2003	15.433
03-2003	15.485
03-2003	15.561
03-2003	15.56
03-2003	15.629
03-2003	15.627
03-2003	15.599
03-2003	15.511
03-2003	15.603
03-2003	15.587
03-2003	15.604
03-2003	15.578
03-2003	15.499
03-2003	15.474
03-2003	15.426
03-2003	15.375
04-2003	15.232
04-2003	15.081
04-2003	15.019
04-2003	15.045
04-2003	14.965
04-2003	15.021
04-2003	14.868
04-2003	14.889
04-2003	14.817
04-2003	14.784
04-2003	14.726
04-2003	14.695
04-2003	14.635
04-2003	14.523
04-2003	14.531
04-2003	14.565
04-2003	14.475
04-2003	14.345
04-2003	14.332
04-2003	14.276
04-2003	14.232
04-2003	14.235
04-2003	14.292
04-2003	14.15
04-2003	14.122
04-2003	13.969
04-2003	13.994
04-2003	13.919
04-2003	13.827
04-2003	13.798
05-2003	13.71
05-2003	13.549
05-2003	13.551
05-2003	13.481
05-2003	13.412
05-2003	13.358
05-2003	13.306
05-2003	13.265
05-2003	13.165
05-2003	13.143
05-2003	13.056
05-2003	13.09
05-2003	13.087
05-2003	13.086
05-2003	13.007
05-2003	12.955
05-2003	12.965
05-2003	12.952
05-2003	12.933
05-2003	12.874
05-2003	12.854
05-2003	12.839
05-2003	12.783
05-2003	12.786
05-2003	12.689
05-2003	12.681
05-2003	12.689
05-2003	12.603
05-2003	12.566
05-2003	12.58
05-2003	12.483
06-2003	12.386
06-2003	12.409
06-2003	12.382
06-2003	12.354
06-2003	12.228
06-2003	12.187
06-2003	12.087
06-2003	12.024
06-2003	12.029
06-2003	11.993
06-2003	11.977
06-2003	11.942
06-2003	11.802
06-2003	11.755
06-2003	11.665
06-2003	11.625
06-2003	11.505
06-2003	11.462
06-2003	11.387
06-2003	11.351
06-2003	11.279
06-2003	11.12
06-2003	11.064
06-2003	11.044
06-2003	11.048
06-2003	10.903
06-2003	10.839
06-2003	10.854
06-2003	10.796
06-2003	10.624
07-2003	10.45
07-2003	10.344
07-2003	10.268
07-2003	10.233
07-2003	10.18
07-2003	10.1
07-2003	10.02
07-2003	9.947
07-2003	9.856
07-2003	9.824
07-2003	9.763
07-2003	9.643
07-2003	9.434
07-2003	9.443
07-2003	9.366
07-2003	9.237
07-2003	9.11
07-2003	9.007
07-2003	8.951
07-2003	8.862
07-2003	8.751
07-2003	8.646
07-2003	8.53
07-2003	8.408
07-2003	8.298
07-2003	8.305
07-2003	8.294
07-2003	8.234
07-2003	8.148
07-2003	8.059
07-2003	7.947
08-2003	7.788
08-2003	7.722
08-2003	7.555
08-2003	7.601
08-2003	7.538
08-2003	7.51
08-2003	7.299
08-2003	7.202
08-2003	7.17
08-2003	7.109
08-2003	7.1
08-2003	7.103
08-2003	6.968
08-2003	6.953
08-2003	6.848
08-2003	6.817
08-2003	6.758
08-2003	6.818
08-2003	6.7
08-2003	6.633
08-2003	6.638
08-2003	6.615
08-2003	6.559
08-2003	6.547
08-2003	6.54
08-2003	6.583
08-2003	6.511
08-2003	6.495
08-2003	6.476
08-2003	6.461
08-2003	6.395
09-2003	6.283
09-2003	6.321
09-2003	6.252
09-2003	6.241
09-2003	6.165
09-2003	6.113
09-2003	6.093
09-2003	6.11
09-2003	6.103
09-2003	6.065
09-2003	6.04
09-2003	6.055
09-2003	6.103
09-2003	6.023
09-2003	6.032
09-2003	6.037
09-2003	5.969
09-2003	5.975
09-2003	6.095
09-2003	6.16
09-2003	6.093
09-2003	5.998
09-2003	6.033
09-2003	6.051
09-2003	6.149
09-2003	6.133
09-2003	6.125
09-2003	6.169
09-2003	6.201
09-2003	6.296
10-2003	6.441
10-2003	6.484
10-2003	6.572
10-2003	6.643
10-2003	6.764
10-2003	6.829
10-2003	6.911
10-2003	6.985
10-2003	6.958
10-2003	7.003
10-2003	7.076
10-2003	7.144
10-2003	7.36
10-2003	7.582
10-2003	7.688
10-2003	7.813
10-2003	7.937
10-2003	8.111
10-2003	8.275
10-2003	8.431
10-2003	8.575
10-2003	8.672
10-2003	8.822
10-2003	8.923
10-2003	8.919
10-2003	8.945
10-2003	9.009
10-2003	9.044
10-2003	9.075
10-2003	9.113
10-2003	9.193
11-2003	9.367
11-2003	9.473
11-2003	9.438
11-2003	9.481
11-2003	9.435
11-2003	9.441
11-2003	9.5
11-2003	9.602
11-2003	9.607
11-2003	9.685
11-2003	9.748
11-2003	9.81
11-2003	9.903
11-2003	9.986
11-2003	10.063
11-2003	10.173
11-2003	10.274
11-2003	10.335
11-2003	10.35
11-2003	10.388
11-2003	10.397
11-2003	10.45
11-2003	10.5
11-2003	10.585
11-2003	10.702
11-2003	10.833
11-2003	10.918
11-2003	11.004
11-2003	11.141
11-2003	11.171
12-2003	11.327
12-2003	11.402
12-2003	11.581
12-2003	11.736
12-2003	11.73
12-2003	11.749
12-2003	11.896
12-2003	11.987
12-2003	12.063
12-2003	12.129
12-2003	12.26
12-2003	12.397
12-2003	12.436
12-2003	12.503
12-2003	12.625
12-2003	12.752
12-2003	12.881
12-2003	12.918
12-2003	12.97
12-2003	12.88
12-2003	13.034
12-2003	13.14
12-2003	13.23
12-2003	13.306
12-2003	13.289
12-2003	13.308
12-2003	13.272
12-2003	13.352
12-2003	13.379
12-2003	13.32
12-2003	13.387
01-2004	13.502
01-2004	13.538
01-2004	13.502
01-2004	13.59
01-2004	13.617
01-2004	13.594
01-2004	13.631
01-2004	13.749
01-2004	13.794
01-2004	13.842
01-2004	13.917
01-2004	13.991
01-2004	14.075
01-2004	14.148
01-2004	14.056
01-2004	14.203
01-2004	14.077
01-2004	14.139
01-2004	14.203
01-2004	14.28
01-2004	14.233
01-2004	14.237
01-2004	14.32
01-2004	14.321
01-2004	14.217
01-2004	14.321
01-2004	14.366
01-2004	14.342
01-2004	14.337
01-2004	14.28
01-2004	14.397
02-2004	14.36
02-2004	14.389
02-2004	14.497
02-2004	14.515
02-2004	14.53
02-2004	14.564
02-2004	14.691
02-2004	14.692
02-2004	14.787
02-2004	14.827
02-2004	14.862
02-2004	14.947
02-2004	15.021
02-2004	15.024
02-2004	15.034
02-2004	15.029
02-2004	15.037
02-2004	15.028
02-2004	15.088
02-2004	15.082
02-2004	15.147
02-2004	15.165
02-2004	15.15
02-2004	15.169
02-2004	15.144
02-2004	15.169
02-2004	15.185
02-2004	15.187
02-2004	15.197
03-2004	15.104
03-2004	15.068
03-2004	15.052
03-2004	15.004
03-2004	15.04
03-2004	15.117
03-2004	15.157
03-2004	15.161
03-2004	15.269
03-2004	15.3
03-2004	15.191
03-2004	15.085
03-2004	14.854
03-2004	14.89
03-2004	14.908
03-2004	14.944
03-2004	15.013
03-2004	14.943
03-2004	14.941
03-2004	14.955
03-2004	14.954
03-2004	14.844
03-2004	14.824
03-2004	14.882
03-2004	14.958
03-2004	15.048
03-2004	15.016
03-2004	14.83
03-2004	14.793
03-2004	14.784
03-2004	14.841
04-2004	14.742
04-2004	14.735
04-2004	14.68
04-2004	14.682
04-2004	14.669
04-2004	14.595
04-2004	14.504
04-2004	14.461
04-2004	14.421
04-2004	14.325
04-2004	14.119
04-2004	13.948
04-2004	13.883
04-2004	13.9
04-2004	13.861
04-2004	13.821
04-2004	13.768
04-2004	13.715
04-2004	13.778
04-2004	13.767
04-2004	13.682
04-2004	13.649
04-2004	13.556
04-2004	13.554
04-2004	13.577
04-2004	13.5
04-2004	13.52
04-2004	13.443
04-2004	13.43
04-2004	13.335
05-2004	13.203
05-2004	13.113
05-2004	13.129
05-2004	13.128
05-2004	13.019
05-2004	12.97
05-2004	12.901
05-2004	12.781
05-2004	12.796
05-2004	12.706
05-2004	12.709
05-2004	12.632
05-2004	12.563
05-2004	12.529
05-2004	12.48
05-2004	12.476
05-2004	12.43
05-2004	12.437
05-2004	12.394
05-2004	12.334
05-2004	12.352
05-2004	12.292
05-2004	12.261
05-2004	12.242
05-2004	12.215
05-2004	12.198
05-2004	12.283
05-2004	12.209
05-2004	12.229
05-2004	12.194
05-2004	12.106
06-2004	11.965
06-2004	11.96
06-2004	11.923
06-2004	11.914
06-2004	11.862
06-2004	11.851
06-2004	11.814
06-2004	11.807
06-2004	11.769
06-2004	11.723
06-2004	11.683
06-2004	11.688
06-2004	11.616
06-2004	11.576
06-2004	11.558
06-2004	11.534
06-2004	11.444
06-2004	11.363
06-2004	11.352
06-2004	11.304
06-2004	11.234
06-2004	11.243
06-2004	11.127
06-2004	10.974
06-2004	10.942
06-2004	10.911
06-2004	10.849
06-2004	10.807
06-2004	10.805
06-2004	10.814
07-2004	10.633
07-2004	10.542
07-2004	10.402
07-2004	10.349
07-2004	10.277
07-2004	10.288
07-2004	10.218
07-2004	10.132
07-2004	10.039
07-2004	9.963
07-2004	9.867
07-2004	9.799
07-2004	9.713
07-2004	9.529
07-2004	9.518
07-2004	9.492
07-2004	9.328
07-2004	9.185
07-2004	9.168
07-2004	9.061
07-2004	9.028
07-2004	8.935
07-2004	8.881
07-2004	8.82
07-2004	8.76
07-2004	8.653
07-2004	8.466
07-2004	8.431
07-2004	8.364
07-2004	8.311
07-2004	8.22
08-2004	8.125
08-2004	7.954
08-2004	7.864
08-2004	7.795
08-2004	7.74
08-2004	7.609
08-2004	7.472
08-2004	7.388
08-2004	7.261
08-2004	7.213
08-2004	7.15
08-2004	7.057
08-2004	6.985
08-2004	6.865
08-2004	6.878
08-2004	6.683
08-2004	6.68
08-2004	6.607
08-2004	6.58
08-2004	6.492
08-2004	6.425
08-2004	6.344
08-2004	6.302
08-2004	6.284
08-2004	6.224
08-2004	6.215
08-2004	6.181
08-2004	6.058
08-2004	6.033
08-2004	6.021
08-2004	6.015
09-2004	5.93
09-2004	5.967
09-2004	5.926
09-2004	5.946
09-2004	5.963
09-2004	5.94
09-2004	5.902
09-2004	5.927
09-2004	5.906
09-2004	5.83
09-2004	5.809
09-2004	5.807
09-2004	5.84
09-2004	5.855
09-2004	5.853
09-2004	5.803
09-2004	5.803
09-2004	5.77
09-2004	5.771
09-2004	5.821
09-2004	6.034
09-2004	5.97
09-2004	6
09-2004	6.112
09-2004	6.183
09-2004	6.247
09-2004	6.32
09-2004	6.397
09-2004	6.442
09-2004	6.461
10-2004	6.621
10-2004	6.713
10-2004	6.839
10-2004	6.821
10-2004	6.899
10-2004	7.039
10-2004	7.204
10-2004	7.289
10-2004	7.357
10-2004	7.464
10-2004	7.607
10-2004	7.74
10-2004	7.846
10-2004	7.894
10-2004	7.92
10-2004	7.982
10-2004	8.11
10-2004	8.219
10-2004	8.21
10-2004	8.169
10-2004	8.242
10-2004	8.329
10-2004	8.432
10-2004	8.617
10-2004	8.685
10-2004	8.742
10-2004	8.798
10-2004	8.88
10-2004	8.987
10-2004	8.984
10-2004	9.045
11-2004	9.16
11-2004	9.289
11-2004	9.407
11-2004	9.54
11-2004	9.734
11-2004	9.806
11-2004	9.809
11-2004	9.923
11-2004	9.91
11-2004	10.052
11-2004	10.144
11-2004	10.232
11-2004	10.224
11-2004	10.299
11-2004	10.346
11-2004	10.419
11-2004	10.43
11-2004	10.471
11-2004	10.501
11-2004	10.607
11-2004	10.674
11-2004	10.683
11-2004	10.704
11-2004	10.839
11-2004	10.97
11-2004	11.046
11-2004	11.146
11-2004	11.243
11-2004	11.325
11-2004	11.365
12-2004	11.629
12-2004	11.791
12-2004	11.872
12-2004	12.06
12-2004	12.046
12-2004	12.112
12-2004	12.132
12-2004	12.219
12-2004	12.328
12-2004	12.32
12-2004	12.466
12-2004	12.434
12-2004	12.524
12-2004	12.57
12-2004	12.72
12-2004	12.629
12-2004	12.687
12-2004	12.693
12-2004	12.705
12-2004	12.767
12-2004	12.834
12-2004	12.965
12-2004	12.958
12-2004	12.974
12-2004	12.827
12-2004	12.814
12-2004	12.973
12-2004	13.046
12-2004	12.989
12-2004	13.058
12-2004	13.019
01-2005	13.16
01-2005	13.163
01-2005	13.293
01-2005	13.313
01-2005	13.383
01-2005	13.324
01-2005	13.452
01-2005	13.404
01-2005	13.431
01-2005	13.503
01-2005	13.55
01-2005	13.516
01-2005	13.656
01-2005	13.62
01-2005	13.604
01-2005	13.74
01-2005	13.809
01-2005	13.711
01-2005	13.705
01-2005	13.765
01-2005	13.705
01-2005	13.764
01-2005	13.851
01-2005	13.963
01-2005	13.981
01-2005	13.892
01-2005	13.931
01-2005	14.064
01-2005	14.097
01-2005	14.136
01-2005	14.019
02-2005	14.031
02-2005	14.071
02-2005	14.145
02-2005	14.128
02-2005	14.107
02-2005	14.076
02-2005	14.089
02-2005	14.171
02-2005	14.259
02-2005	14.296
02-2005	14.278
02-2005	14.302
02-2005	14.332
02-2005	14.405
02-2005	14.456
02-2005	14.515
02-2005	14.467
02-2005	14.415
02-2005	14.427
02-2005	14.469
02-2005	14.454
02-2005	14.431
02-2005	14.541
