Date	     Extent (million sq km)
09-1985	6.993
09-1985	6.992
09-1985	7.112
10-1985	7.365
10-1985	7.585
10-1985	7.642
10-1985	7.985
10-1985	8.013
10-1985	8.129
10-1985	8.442
10-1985	8.562
10-1985	8.708
10-1985	8.699
10-1985	8.783
10-1985	8.959
10-1985	9.116
10-1985	9.33
10-1985	9.566
10-1985	9.851
11-1985	10.219
11-1985	10.238
11-1985	10.37
11-1985	10.471
11-1985	10.47
11-1985	10.77
11-1985	10.992
11-1985	11.083
11-1985	11.041
11-1985	11.255
11-1985	11.442
11-1985	11.597
11-1985	11.723
11-1985	11.77
11-1985	11.927
12-1985	12.305
12-1985	12.314
12-1985	12.469
12-1985	12.619
12-1985	12.734
12-1985	12.771
12-1985	12.818
12-1985	13.065
12-1985	13.263
12-1985	13.271
12-1985	13.45
12-1985	13.642
12-1985	13.756
12-1985	13.571
12-1985	13.701
01-1986	14.036
01-1986	14.292
01-1986	14.489
01-1986	14.533
01-1986	14.628
01-1986	14.795
01-1986	14.901
01-1986	14.991
01-1986	14.981
01-1986	15.159
01-1986	15.252
01-1986	15.214
01-1986	15.322
01-1986	15.241
01-1986	15.194
01-1986	15.206
02-1986	15.331
02-1986	15.427
02-1986	15.546
02-1986	15.724
02-1986	15.802
02-1986	15.845
02-1986	15.724
02-1986	15.836
02-1986	15.949
02-1986	15.913
02-1986	15.966
02-1986	16.008
02-1986	15.934
02-1986	15.983
03-1986	16.02
03-1986	16.023
03-1986	16.031
03-1986	16.084
03-1986	16.158
03-1986	16.14
03-1986	16.018
03-1986	16.02
03-1986	15.941
03-1986	15.791
03-1986	15.772
03-1986	15.74
03-1986	15.672
03-1986	15.589
03-1986	15.643
04-1986	15.636
04-1986	15.629
04-1986	15.427
04-1986	15.302
04-1986	15.292
04-1986	15.182
04-1986	15.13
04-1986	15.019
04-1986	15.008
04-1986	14.872
04-1986	14.858
04-1986	14.703
04-1986	14.681
04-1986	14.629
04-1986	14.514
05-1986	14.275
05-1986	14.12
05-1986	13.925
05-1986	13.81
05-1986	13.602
05-1986	13.492
05-1986	13.424
05-1986	13.338
05-1986	13.264
05-1986	13.215
05-1986	13.192
05-1986	13.078
05-1986	12.977
05-1986	12.83
05-1986	12.781
05-1986	12.75
06-1986	12.567
06-1986	12.412
06-1986	12.26
06-1986	12.13
06-1986	12.191
06-1986	12.158
06-1986	11.999
06-1986	11.921
06-1986	11.965
06-1986	11.861
06-1986	11.837
06-1986	11.797
06-1986	11.637
06-1986	11.547
06-1986	11.357
07-1986	11.147
07-1986	11.162
07-1986	11.031
07-1986	10.882
07-1986	10.723
07-1986	10.571
07-1986	10.461
07-1986	10.211
07-1986	10.01
07-1986	9.759
07-1986	9.574
07-1986	9.323
07-1986	9.256
07-1986	9.111
07-1986	8.976
08-1986	8.762
08-1986	8.649
08-1986	8.51
08-1986	8.373
08-1986	8.2
08-1986	8.042
08-1986	7.934
08-1986	7.912
08-1986	7.908
08-1986	7.799
08-1986	7.706
08-1986	7.722
08-1986	7.661
08-1986	7.577
08-1986	7.498
08-1986	7.42
09-1986	7.229
09-1986	7.21
09-1986	7.122
09-1986	7.192
09-1986	7.187
09-1986	7.214
09-1986	7.3
09-1986	7.328
09-1986	7.398
09-1986	7.443
09-1986	7.537
09-1986	7.529
09-1986	7.724
09-1986	7.773
09-1986	7.974
10-1986	8.338
10-1986	8.659
10-1986	8.827
10-1986	9.025
10-1986	9.12
10-1986	9.267
10-1986	9.4
10-1986	9.528
10-1986	9.725
10-1986	9.897
10-1986	9.986
10-1986	10.005
